year,ine_code,name,value
2009,22,Huesca,228409.0
2009,23,Jaén,669782.0
2009,24,León,500169.0
2009,25,Lleida,436402.0
2009,27,Lugo,355195.0
2009,28,Madrid,6386932.0
2009,29,Málaga,1593068.0
2009,30,Murcia,1446520.0
2009,31,Navarra,630578.0
2009,32,Ourense,335642.0
2009,34,Palencia,173306.0
2009,35,"Palmas, Las",1083502.0
2009,36,Pontevedra,959764.0
2009,26,"Rioja, La",321702.0
2009,37,Salamanca,354608.0
2009,38,Santa Cruz de Tenerife,1020490.0
2009,40,Segovia,164854.0
2009,41,Sevilla,1900224.0
2009,42,Soria,95101.0
2009,43,Tarragona,803301.0
2009,44,Teruel,146751.0
2009,45,Toledo,689635.0
2009,46,Valencia/València,2575362.0
2009,47,Valladolid,532575.0
2009,49,Zamora,195665.0
2009,50,Zaragoza,970313.0
2009,51,Ceuta,78674.0
2009,52,Melilla,73460.0
2008,2,Albacete,397493.0
2008,3,Alicante/Alacant,1891477.0
2008,4,Almería,667635.0
2008,1,Araba/Álava,309635.0
2008,33,Asturias,1080138.0
2008,5,Ávila,171815.0
2008,6,Badajoz,685246.0
2008,7,"Balears, Illes",1072844.0
2008,8,Barcelona,5416447.0
2008,48,Bizkaia,1146421.0
2008,9,Burgos,373672.0
2008,10,Cáceres,412498.0
2008,11,Cádiz,1220467.0
2008,39,Cantabria,582138.0
2008,12,Castellón/Castelló,594915.0
2008,13,Ciudad Real,522343.0
2008,14,Córdoba,798822.0
2008,15,"Coruña, A",1139121.0
2008,16,Cuenca,215274.0
2008,20,Gipuzkoa,701056.0
2008,17,Girona,731864.0
2008,18,Granada,901220.0
2008,19,Guadalajara,237787.0
2008,21,Huelva,507915.0
2008,22,Huesca,225271.0
2008,23,Jaén,667438.0
2008,24,León,500200.0
2008,25,Lleida,426872.0
2008,27,Lugo,355549.0
2008,28,Madrid,6271638.0
2008,29,Málaga,1563261.0
2008,30,Murcia,1426109.0
2008,31,Navarra,620377.0
2008,32,Ourense,336099.0
2008,34,Palencia,173454.0
